;tweet;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
0;Soal jln Jatibaru,polisi tdk bs GERTAK gubernur .Emangny polisi tdk ikut pmbhasan? Jgn berpolitik. Pengaturan wilayah,hak gubernur. Persoalan Tn Abang soal turun temurun.Pelik.Perlu kesabaran. [USERNAME] [USERNAME] [URL];soal jln jatibaru polisi tdk bs allcaps gertak allcaps gubernur emangny polisi tdk ikut pmbhasan jgn berpolitik pengaturan wilayah hak gubernur persoalan tn abang soal turun temurun pelik perlu kesabaran allcaps username allcaps allcaps username allcaps allcaps url allcaps;['soal', 'jln', 'jatibaru', 'polisi', 'tdk', 'bs', 'allcaps', 'gertak', 'allcaps', 'gubernur', 'emangny', 'polisi', 'tdk', 'ikut', 'pmbhasan', 'jgn', 'berpolitik', 'pengaturan', 'wilayah', 'hak', 'gubernur', 'persoalan', 'tn', 'abang', 'soal', 'turun', 'temurun', 'pelik', 'perlu', 'kesabaran', 'allcaps', 'username', 'allcaps', 'allcaps', 'username', 'allcaps', 'allcaps', 'url', 'allcaps'];['soal', 'jln', 'jatibaru', 'polisi', 'tidak', 'bs', 'allcaps', 'gertak', 'allcaps', 'gubernur', 'emangny', 'polisi', 'tidak', 'ikut', 'pmbhasan', 'jgn', 'berpolitik', 'pengaturan', 'wilayah', 'hak', 'gubernur', 'persoalan', 'tn', 'abang', 'soal', 'turun', 'temurun', 'pelik', 'perlu', 'kesabaran', 'allcaps', 'username', 'allcaps', 'allcaps', 'username', 'allcaps', 'allcaps', 'url', 'allcaps'];['jln', 'jatibaru', 'polisi', 'bs', 'allcaps', 'gertak', 'allcaps', 'gubernur', 'emangny', 'polisi', 'pmbhasan', 'jgn', 'berpolitik', 'pengaturan', 'wilayah', 'hak', 'gubernur', 'tn', 'abang', 'turun', 'temurun', 'pelik', 'kesabaran', 'allcaps', 'username', 'allcaps', 'allcaps', 'username', 'allcaps', 'allcaps', 'url', 'allcaps'];jln jatibaru polisi bs allcaps gertak allcaps gubernur emangny polisi pmbhasan jgn berpolitik pengaturan wilayah hak gubernur tn abang turun temurun pelik kesabaran allcaps username allcaps allcaps username allcaps allcaps url allcaps;jln jatibaru polisi bs allcaps gertak allcaps gubernur emangny polisi pmbhasan jgn politik atur wilayah hak gubernur tn abang turun turun pelik sabar allcaps username allcaps allcaps username allcaps allcaps url allcaps
1;Sesama cewe lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malem sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat.;sesama cewe lho kayaknya harusnya bisa lebih rasain lah yang harus sibuk jaga diri rasain sakitnya haid dan paniknya pulang malem sendirian gimana orang asing wajarlah banyak korban yang takut curhat bukan dibela malah dihujat;['sesama', 'cewe', 'lho', 'kayaknya', 'harusnya', 'bisa', 'lebih', 'rasain', 'lah', 'yang', 'harus', 'sibuk', 'jaga', 'diri', 'rasain', 'sakitnya', 'haid', 'dan', 'paniknya', 'pulang', 'malem', 'sendirian', 'gimana', 'orang', 'asing', 'wajarlah', 'banyak', 'korban', 'yang', 'takut', 'curhat', 'bukan', 'dibela', 'malah', 'dihujat'];['sesama', 'cewe', 'lho', 'kayaknya', 'harusnya', 'bisa', 'lebih', 'rasain', 'lah', 'yang', 'harus', 'sibuk', 'jaga', 'diri', 'rasain', 'sakitnya', 'haid', 'dan', 'paniknya', 'pulang', 'malem', 'sendirian', 'gimana', 'orang', 'asing', 'wajarlah', 'banyak', 'korban', 'yang', 'takut', 'curhat', 'bukan', 'dibela', 'malah', 'dihujat'];['cewe', 'lho', 'kayaknya', 'rasain', 'sibuk', 'jaga', 'rasain', 'sakitnya', 'haid', 'paniknya', 'pulang', 'malem', 'gimana', 'orang', 'asing', 'wajarlah', 'korban', 'takut', 'curhat', 'dibela', 'dihujat'];cewe lho kayaknya rasain sibuk jaga rasain sakitnya haid paniknya pulang malem gimana orang asing wajarlah korban takut curhat dibela dihujat;cewe lho kayak rasain sibuk jaga rasain sakit haid panik pulang malem gimana orang asing wajar korban takut curhat bela hujat
2;Kepingin gudeg mbarek Bu hj. Amad Foto dari google, sengaja, biar teman-teman jg membayangkannya. Berbagi itu indah.;kepingin gudeg mbarek bu hj amad foto dari google sengaja biar teman teman jg membayangkannya berbagi itu indah;['kepingin', 'gudeg', 'mbarek', 'bu', 'hj', 'amad', 'foto', 'dari', 'google', 'sengaja', 'biar', 'teman', 'teman', 'jg', 'membayangkannya', 'berbagi', 'itu', 'indah'];['kepingin', 'gudeg', 'mbarek', 'bu', 'hj', 'amad', 'foto', 'dari', 'google', 'sengaja', 'biar', 'teman', 'teman', 'jg', 'membayangkannya', 'berbagi', 'itu', 'indah'];['kepingin', 'gudeg', 'mbarek', 'bu', 'hj', 'amad', 'foto', 'google', 'sengaja', 'biar', 'teman', 'teman', 'jg', 'membayangkannya', 'berbagi', 'indah'];kepingin gudeg mbarek bu hj amad foto google sengaja biar teman teman jg membayangkannya berbagi indah;kepingin gudeg mbarek bu hj amad foto google sengaja biar teman teman jg bayang bagi indah
3;Jln Jatibaru,bagian dari wilayah Tn Abang.Pengaturan wilayah tgg jwb dan wwnang gub.Tng Abng soal rumit,sejak gub2 , trdahulu.Skrg sedng dibenahi,agr bermnfaat semua pihak.Mohon yg punya otak,berpikirlah dgn wajar,kecuali otaknya butek.Ya kamu. [URL];jln jatibaru bagian dari wilayah tn abang pengaturan wilayah tgg jwb dan wwnang gub tng abng soal rumit sejak gub2 trdahulu skrg sedng dibenahi agr bermnfaat semua pihak mohon yg punya otak berpikirlah dgn wajar kecuali otaknya butek ya kamu allcaps url allcaps;['jln', 'jatibaru', 'bagian', 'dari', 'wilayah', 'tn', 'abang', 'pengaturan', 'wilayah', 'tgg', 'jwb', 'dan', 'wwnang', 'gub', 'tng', 'abng', 'soal', 'rumit', 'sejak', 'gub2', 'trdahulu', 'skrg', 'sedng', 'dibenahi', 'agr', 'bermnfaat', 'semua', 'pihak', 'mohon', 'yg', 'punya', 'otak', 'berpikirlah', 'dgn', 'wajar', 'kecuali', 'otaknya', 'butek', 'ya', 'kamu', 'allcaps', 'url', 'allcaps'];['jln', 'jatibaru', 'bagian', 'dari', 'wilayah', 'tn', 'abang', 'pengaturan', 'wilayah', 'tgg', 'jwb', 'dan', 'wwnang', 'gub', 'tng', 'abng', 'soal', 'rumit', 'sejak', 'gub2', 'trdahulu', 'skrg', 'sedng', 'dibenahi', 'agr', 'bermnfaat', 'semua', 'pihak', 'mohon', 'yang', 'punya', 'otak', 'berpikirlah', 'dengan', 'wajar', 'kecuali', 'otaknya', 'butek', 'ya', 'kamu', 'allcaps', 'url', 'allcaps'];['jln', 'jatibaru', 'wilayah', 'tn', 'abang', 'pengaturan', 'wilayah', 'tgg', 'jwb', 'wwnang', 'gub', 'tng', 'abng', 'rumit', 'gub2', 'trdahulu', 'skrg', 'sedng', 'dibenahi', 'agr', 'bermnfaat', 'mohon', 'otak', 'berpikirlah', 'wajar', 'kecuali', 'otaknya', 'butek', 'ya', 'allcaps', 'url', 'allcaps'];jln jatibaru wilayah tn abang pengaturan wilayah tgg jwb wwnang gub tng abng rumit gub2 trdahulu skrg sedng dibenahi agr bermnfaat mohon otak berpikirlah wajar kecuali otaknya butek ya allcaps url allcaps;jln jatibaru wilayah tn abang atur wilayah tgg jwb wwnang gub tng abng rumit gub2 trdahulu skrg sedng benah agr bermnfaat mohon otak pikir wajar kecuali otak butek ya allcaps url allcaps
4;Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun pasar senen, lancar, antrian tidak terlalu rame,15 menitan dan beress semua! Mungkin bisa dicoba twips, di jam-jam segitu  cc [USERNAME];sharing pengalaman aja kemarin jam number batalin tiket di stasiun pasar senen lancar antrian tidak terlalu rame number menitan dan beress semua mungkin bisa dicoba twips di jam jam segitu cc allcaps username allcaps;['sharing', 'pengalaman', 'aja', 'kemarin', 'jam', 'number', 'batalin', 'tiket', 'di', 'stasiun', 'pasar', 'senen', 'lancar', 'antrian', 'tidak', 'terlalu', 'rame', 'number', 'menitan', 'dan', 'beress', 'semua', 'mungkin', 'bisa', 'dicoba', 'twips', 'di', 'jam', 'jam', 'segitu', 'cc', 'allcaps', 'username', 'allcaps'];['sharing', 'pengalaman', 'saja', 'kemarin', 'jam', 'number', 'batalin', 'tiket', 'di', 'stasiun', 'pasar', 'senen', 'lancar', 'antrian', 'tidak', 'terlalu', 'rame', 'number', 'menitan', 'dan', 'beress', 'semua', 'mungkin', 'bisa', 'dicoba', 'twips', 'di', 'jam', 'jam', 'segitu', 'cc', 'allcaps', 'username', 'allcaps'];['sharing', 'pengalaman', 'kemarin', 'jam', 'number', 'batalin', 'tiket', 'stasiun', 'pasar', 'senen', 'lancar', 'antrian', 'rame', 'number', 'menitan', 'beress', 'dicoba', 'twips', 'jam', 'jam', 'segitu', 'cc', 'allcaps', 'username', 'allcaps'];sharing pengalaman kemarin jam number batalin tiket stasiun pasar senen lancar antrian rame number menitan beress dicoba twips jam jam segitu cc allcaps username allcaps;sharing alam kemarin jam number batalin tiket stasiun pasar senen lancar antri rame number menit beress coba twips jam jam segitu cc allcaps username allcaps
5;"Dari sekian banyak thread yang aku baca, thread ini paling aneh sih dalam penulisan. Sumpah aneh bgt, mau ngatain ""lebay"" aja segala bikin thread hadeh. Aku juga ga jago nulis, tapi tulisan aku ga seberantakan thread mbaknya.";dari sekian banyak thread yang aku baca thread ini paling aneh sih dalam penulisan sumpah aneh bgt mau ngatain lebay aja segala bikin thread hadeh aku juga ga jago nulis tapi tulisan aku ga seberantakan thread mbaknya;['dari', 'sekian', 'banyak', 'thread', 'yang', 'aku', 'baca', 'thread', 'ini', 'paling', 'aneh', 'sih', 'dalam', 'penulisan', 'sumpah', 'aneh', 'bgt', 'mau', 'ngatain', 'lebay', 'aja', 'segala', 'bikin', 'thread', 'hadeh', 'aku', 'juga', 'ga', 'jago', 'nulis', 'tapi', 'tulisan', 'aku', 'ga', 'seberantakan', 'thread', 'mbaknya'];['dari', 'sekian', 'banyak', 'thread', 'yang', 'aku', 'baca', 'thread', 'ini', 'paling', 'aneh', 'sih', 'dalam', 'penulisan', 'sumpah', 'aneh', 'banget', 'mau', 'ngatain', 'lebay', 'saja', 'segala', 'bikin', 'thread', 'hadeh', 'aku', 'juga', 'tidak', 'jago', 'nulis', 'tapi', 'tulisan', 'aku', 'tidak', 'seberantakan', 'thread', 'mbaknya'];['sekian', 'thread', 'baca', 'thread', 'aneh', 'sih', 'penulisan', 'sumpah', 'aneh', 'banget', 'ngatain', 'lebay', 'bikin', 'thread', 'hadeh', 'jago', 'nulis', 'tulisan', 'seberantakan', 'thread', 'mbaknya'];sekian thread baca thread aneh sih penulisan sumpah aneh banget ngatain lebay bikin thread hadeh jago nulis tulisan seberantakan thread mbaknya;sekian thread baca thread aneh sih tulis sumpah aneh banget ngatain lebay bikin thread hadeh jago nulis tulis beranta thread mbak
6;Sharing sama temen tuh emg guna bgt. Disaat lu ngerasa masalah lu berat bgt ternyata temen kita sendiri punya masalah lebih berat dr kita. Malah masalah kita ngga ada apa2nya dibanding masalah dia.;sharing sama temen tuh emg guna bgt disaat lu ngerasa masalah lu berat bgt ternyata temen kita sendiri punya masalah lebih berat dr kita malah masalah kita ngga ada apa2nya dibanding masalah dia;['sharing', 'sama', 'temen', 'tuh', 'emg', 'guna', 'bgt', 'disaat', 'lu', 'ngerasa', 'masalah', 'lu', 'berat', 'bgt', 'ternyata', 'temen', 'kita', 'sendiri', 'punya', 'masalah', 'lebih', 'berat', 'dr', 'kita', 'malah', 'masalah', 'kita', 'ngga', 'ada', 'apa2nya', 'dibanding', 'masalah', 'dia'];['sharing', 'sama', 'temen', 'tuh', 'emg', 'guna', 'banget', 'disaat', 'lu', 'ngerasa', 'masalah', 'lu', 'berat', 'banget', 'ternyata', 'temen', 'kita', 'sendiri', 'punya', 'masalah', 'lebih', 'berat', 'dari', 'kita', 'malah', 'masalah', 'kita', 'ngga', 'ada', 'apa2nya', 'dibanding', 'masalah', 'dia'];['sharing', 'temen', 'tuh', 'emg', 'banget', 'disaat', 'lu', 'ngerasa', 'lu', 'berat', 'banget', 'temen', 'berat', 'ngga', 'apa2nya', 'dibanding'];sharing temen tuh emg banget disaat lu ngerasa lu berat banget temen berat ngga apa2nya dibanding;sharing temen tuh emg banget saat lu ngerasa lu berat banget temen berat ngga apa2nya banding
7;Orang lain kalau pake ponco itu buat jas hujan, nah dia pake buat kasur. Ya tadi gara2 saking gak punya apa2. Mamak bilang, kami tuh di awal pernikan gak ada ngalamin bulan madu kayak skrg2. Org tidur nya aja pake ponco. Gimane mau bulan madu.;orang lain kalau pake ponco itu buat jas hujan nah dia pake buat kasur ya tadi gara2 saking gak punya apa2 mamak bilang kami tuh di awal pernikan gak ada ngalamin bulan madu kayak skrg2 org tidur nya aja pake ponco gimane mau bulan madu;['orang', 'lain', 'kalau', 'pake', 'ponco', 'itu', 'buat', 'jas', 'hujan', 'nah', 'dia', 'pake', 'buat', 'kasur', 'ya', 'tadi', 'gara2', 'saking', 'gak', 'punya', 'apa2', 'mamak', 'bilang', 'kami', 'tuh', 'di', 'awal', 'pernikan', 'gak', 'ada', 'ngalamin', 'bulan', 'madu', 'kayak', 'skrg2', 'org', 'tidur', 'nya', 'aja', 'pake', 'ponco', 'gimane', 'mau', 'bulan', 'madu'];['orang', 'lain', 'kalau', 'pake', 'ponco', 'itu', 'buat', 'jas', 'hujan', 'nah', 'dia', 'pake', 'buat', 'kasur', 'ya', 'tadi', 'gara2', 'saking', 'gak', 'punya', 'apa2', 'mamak', 'bilang', 'kami', 'tuh', 'di', 'awal', 'pernikan', 'gak', 'ada', 'ngalamin', 'bulan', 'madu', 'kayak', 'skrg2', 'org', 'tidur', 'nya', 'saja', 'pake', 'ponco', 'gimane', 'mau', 'bulan', 'madu'];['orang', 'pake', 'ponco', 'jas', 'hujan', 'pake', 'kasur', 'ya', 'gara2', 'saking', 'gak', 'apa2', 'mamak', 'bilang', 'tuh', 'pernikan', 'gak', 'ngalamin', 'madu', 'kayak', 'skrg2', 'org', 'tidur', 'nya', 'pake', 'ponco', 'gimane', 'madu'];orang pake ponco jas hujan pake kasur ya gara2 saking gak apa2 mamak bilang tuh pernikan gak ngalamin madu kayak skrg2 org tidur nya pake ponco gimane madu;orang pake ponco jas hujan pake kasur ya gara2 saking gak apa2 mamak bilang tuh pernik gak ngalamin madu kayak skrg2 org tidur nya pake ponco gimane madu
8;Contoh mereka yg gemar menyudutkan, teriak paling toleran tp gemar menuduh, gemar men-judge seseorang berdasarkan versi mereka. Cukup tau saja.;contoh mereka yg gemar menyudutkan teriak paling toleran tp gemar menuduh gemar men judge seseorang berdasarkan versi mereka cukup tau saja;['contoh', 'mereka', 'yg', 'gemar', 'menyudutkan', 'teriak', 'paling', 'toleran', 'tp', 'gemar', 'menuduh', 'gemar', 'men', 'judge', 'seseorang', 'berdasarkan', 'versi', 'mereka', 'cukup', 'tau', 'saja'];['contoh', 'mereka', 'yang', 'gemar', 'menyudutkan', 'teriak', 'paling', 'toleran', 'tp', 'gemar', 'menuduh', 'gemar', 'men', 'judge', 'seseorang', 'berdasarkan', 'versi', 'mereka', 'cukup', 'tau', 'saja'];['contoh', 'gemar', 'menyudutkan', 'teriak', 'toleran', 'tp', 'gemar', 'menuduh', 'gemar', 'men', 'judge', 'berdasarkan', 'versi', 'tau'];contoh gemar menyudutkan teriak toleran tp gemar menuduh gemar men judge berdasarkan versi tau;contoh gemar sudut teriak toleran tp gemar tuduh gemar men judge dasar versi tau
9;Pulang udah H-4 lebaran dilema sekali. Seperti tidak bisa melakukan apa2 dirumah sebelum lebaran. Buka puasa bareng cuman 3 hari sama keluarga begitu juga sahur.;pulang udah number lebaran dilema sekali seperti tidak bisa melakukan apa2 dirumah sebelum lebaran buka puasa bareng cuman number hari sama keluarga begitu juga sahur;['pulang', 'udah', 'number', 'lebaran', 'dilema', 'sekali', 'seperti', 'tidak', 'bisa', 'melakukan', 'apa2', 'dirumah', 'sebelum', 'lebaran', 'buka', 'puasa', 'bareng', 'cuman', 'number', 'hari', 'sama', 'keluarga', 'begitu', 'juga', 'sahur'];['pulang', 'udah', 'number', 'lebaran', 'dilema', 'sekali', 'seperti', 'tidak', 'bisa', 'melakukan', 'apa2', 'dirumah', 'sebelum', 'lebaran', 'buka', 'puasa', 'bareng', 'cuman', 'number', 'hari', 'sama', 'keluarga', 'begitu', 'juga', 'sahur'];['pulang', 'udah', 'number', 'lebaran', 'dilema', 'apa2', 'dirumah', 'lebaran', 'buka', 'puasa', 'bareng', 'cuman', 'number', 'keluarga', 'sahur'];pulang udah number lebaran dilema apa2 dirumah lebaran buka puasa bareng cuman number keluarga sahur;pulang udah number lebaran dilema apa2 rumah lebaran buka puasa bareng cuman number keluarga sahur
